"region_id","space_name","wapcov_id","space_name","intersectionpercentage"
942,InnerClassroom,465,"3141-clwa-1423",0.1244338051482829
942,InnerClassroom,466,"3141-clwa-1422",0.32106586318869507
942,InnerClassroom,467,"3141-clwa-1433",0.0
942,InnerClassroom,468,"3141-clwa-1431",0.0
942,InnerClassroom,469,"3141-clwb-1200",0.0
942,InnerClassroom,470,"3141-clwa-1600",0.0
942,InnerClassroom,471,"3141-clwa-1500",0.0
942,InnerClassroom,472,"3141-clwb-1600",0.0
942,InnerClassroom,473,"3141-clwb-1300",0.0
942,InnerClassroom,474,"3141-clwa-1300",0.002504283922251738
942,InnerClassroom,475,"3141-clwa-1200",0.0
942,InnerClassroom,476,"3141-clwa-1100",0.0
942,InnerClassroom,477,"3141-clwd-1100",0.0017538092761294265
942,InnerClassroom,478,"3141-clwc-1100",0.0
942,InnerClassroom,479,"3141-clwb-1100",0.0
942,InnerClassroom,480,"3141-clwe-1100",0.0
943,Systems,220,"3143-clwa-3219",0.0
943,Systems,221,"3143-clwa-3209",0.0
943,Systems,222,"3143-clwa-3231",0.0
943,Systems,223,"3143-clwa-3039",0.022416847646681663
943,Systems,224,"3143-clwa-3019",0.0
943,Systems,225,"3143-clwa-3099",0.22158377359673756
943,Systems,226,"3143-clwa-3065",0.21892476915403689
943,Systems,227,"3143-clwa-3059",0.11794925377716399
943,Systems,228,"3143-clwa-3051",0.041698752708977396
944,StaffCSDepartment,220,"3143-clwa-3219",0.0
944,StaffCSDepartment,221,"3143-clwa-3209",0.0004469223216264
944,StaffCSDepartment,222,"3143-clwa-3231",0.0
944,StaffCSDepartment,223,"3143-clwa-3039",0.5545057568575597
944,StaffCSDepartment,224,"3143-clwa-3019",0.1550950372772397
944,StaffCSDepartment,225,"3143-clwa-3099",0.0
944,StaffCSDepartment,226,"3143-clwa-3065",0.0
944,StaffCSDepartment,227,"3143-clwa-3059",0.08274131571823315
944,StaffCSDepartment,228,"3143-clwa-3051",0.2106160295871034
945,MultimediaNetworksAndSystems,220,"3143-clwa-3219",0.6932738769280463
945,MultimediaNetworksAndSystems,221,"3143-clwa-3209",0.8266465776687411
945,MultimediaNetworksAndSystems,222,"3143-clwa-3231",0.8212190609704183
945,MultimediaNetworksAndSystems,223,"3143-clwa-3039",0.14280851279345474
945,MultimediaNetworksAndSystems,224,"3143-clwa-3019",0.5214667721575817
945,MultimediaNetworksAndSystems,225,"3143-clwa-3099",0.0
945,MultimediaNetworksAndSystems,226,"3143-clwa-3065",0.0
945,MultimediaNetworksAndSystems,227,"3143-clwa-3059",0.0
945,MultimediaNetworksAndSystems,228,"3143-clwa-3051",0.037431931693526724
